Time,X,Y,Z
10-13 16:42:21,-556.416,725.08,21.046
10-13 16:42:21,-558.462,719.673,21.485
10-13 16:42:21,-553.932,723.327,22.216
10-13 16:42:21,-559.486,723.473,16.954
10-13 16:42:21,-555.101,724.203,24.554
10-13 16:42:21,-557.732,726.834,21.631
10-13 16:42:21,-558.609,720.988,20.316
10-13 16:42:21,-556.416,723.327,19.293
10-13 16:42:21,-561.239,734.142,15.931
10-13 16:42:21,-558.755,731.804,13.3
10-13 16:42:21,-556.855,726.98,20.17
10-13 16:42:21,-554.078,722.45,13.3
10-13 16:42:21,-559.632,727.419,21.923
10-13 16:42:21,-559.339,728.88,15.639
10-13 16:42:21,-558.901,724.788,15.054
10-13 16:42:21,-554.078,719.38,22.947
10-13 16:42:21,-555.978,722.596,22.216
10-13 16:42:21,-558.462,724.057,25.87
10-13 16:42:22,-557.586,721.719,23.97
10-13 16:42:22,-557.439,726.834,20.608
10-13 16:42:22,-558.901,722.888,21.631
10-13 16:42:22,-554.809,722.45,19.0
10-13 16:42:22,-556.27,719.526,27.916
10-13 16:42:22,-556.562,719.234,19.439
10-13 16:42:22,-556.416,721.134,19.877
10-13 16:42:22,-556.27,716.896,16.223
10-13 16:42:22,-561.97,715.726,8.477
10-13 16:42:22,-560.947,718.503,21.339
10-13 16:42:22,-555.247,716.311,9.792
10-13 16:42:22,-555.101,714.849,17.1
10-13 16:42:22,-556.709,718.503,15.054
10-13 16:42:22,-562.847,715.873,10.816
10-13 16:42:22,-555.685,719.673,15.785
10-13 16:42:22,-562.262,723.034,20.9
10-13 16:42:22,-557.293,719.088,14.908
10-13 16:42:22,-560.07,720.55,7.308
10-13 16:42:22,-558.462,719.673,16.369
10-13 16:42:22,-561.97,716.165,14.908
10-13 16:42:22,-557.001,718.796,17.1
10-13 16:42:22,-559.193,723.911,22.947
10-13 16:42:22,-561.532,725.519,17.831
10-13 16:42:22,-555.101,722.742,14.031
10-13 16:42:22,-557.586,718.503,22.362
10-13 16:42:22,-558.316,721.865,16.808
10-13 16:42:22,-560.655,720.111,21.923
10-13 16:42:22,-566.063,720.696,12.862
10-13 16:42:22,-559.924,717.919,14.469
10-13 16:42:22,-563.139,719.526,4.239
10-13 16:42:22,-525.431,724.35,18.27
10-13 16:42:22,-561.093,718.796,21.193
10-13 16:42:22,-560.655,722.742,28.793
10-13 16:42:22,-552.032,713.534,18.854
10-13 16:42:22,-539.462,718.357,10.816
10-13 16:42:22,-522.947,728.15,-8.477
10-13 16:42:22,-515.2,719.965,-10.816
10-13 16:42:22,-503.8,724.642,-19.0
10-13 16:42:22,-472.815,724.642,-17.393
10-13 16:42:22,-447.968,723.034,-17.393
10-13 16:42:22,-412.891,722.303,-24.7
10-13 16:42:22,-400.322,721.719,-27.039
10-13 16:42:22,-381.029,714.411,-44.724
10-13 16:42:22,-356.621,709.88,-62.993
10-13 16:42:22,-333.09,698.626,-103.332
10-13 16:42:22,-310.289,686.349,-129.933
10-13 16:42:22,-298.158,669.98,-146.01
10-13 16:42:22,-282.666,671.295,-139.725
10-13 16:42:22,-282.374,673.487,-144.402
10-13 16:42:22,-270.096,668.518,-134.317
10-13 16:42:22,-277.404,667.641,-139.725
10-13 16:42:22,-266.004,661.21,-162.526
10-13 16:42:22,-263.373,658.872,-175.68
10-13 16:42:22,-247.881,638.702,-204.911
10-13 16:42:22,-236.919,622.771,-226.25
10-13 16:42:22,-193.072,605.086,-262.935
10-13 16:42:22,-223.034,604.063,-257.819
10-13 16:42:22,-226.98,599.532,-256.504
10-13 16:42:22,-233.85,592.809,-282.958
10-13 16:42:22,-226.542,583.747,-310.143
10-13 16:42:22,-234.434,566.355,-347.267
10-13 16:42:22,-256.796,552.762,-366.413
10-13 16:42:22,-276.82,539.608,-389.506
10-13 16:42:22,-303.274,523.823,-417.276
10-13 16:42:22,-327.39,511.546,-444.607
10-13 16:42:22,-354.282,507.454,-444.461
10-13 16:42:22,-387.46,502.923,-453.961
10-13 16:42:22,-420.491,510.816,-460.246
10-13 16:42:22,-455.276,518.27,-466.823
10-13 16:42:22,-486.846,522.654,-454.692
